Sl. No.,Flight No.,Operator Code,Aircraft Type,Frequency,Arrival from,Arrival Time,Departure to,Departure Time,Effective from,Effective to
5,2T 107,TRJ,ATR 72,Daily,,,TIR,5:30,27-10-19,28-03-20
6,2T 131,TRJ,ATR 72,Daily,,,VGA,6:40,27-10-19,28-03-20
7,2T 177,TRJ,ATR 72,7,,,IDR,7:35,27-10-19,27-10-19
8,2T 177,TRJ,ATR 72,Daily,,,IDR,7:35,27-10-19,28-03-20
9,2T 141,TRJ,ATR 72,7,,,RJA,7:40,27-10-19,27-10-19
10,2T 141,TRJ,ATR 72,Daily,,,RJA,7:40,27-10-19,28-03-20
11,2T 201,TRJ,ATR 72,2,,,MAA,7:45,27-10-19,14-11-19
12,2T 201,TRJ,ATR 72,134567,,,MAA,8:05,27-10-19,14-11-19
13,2T 132,TRJ,ATR 72,Daily,VGA,9:05,,,27-10-19,28-03-20
14,2T 515,TRJ,ATR 72,Daily,,,NDC,9:35,27-10-19,28-03-20
15,2T 142,TRJ,ATR 72,2,RJA,10:35,,,29-10-19,24-03-20
16,2T 142,TRJ,ATR 72,134567,RJA,10:35,,,27-10-19,28-03-20
17,2T 121,TRJ,ATR 72,134567,,,GOI,10:55,27-10-19,28-03-20
18,2T 121,TRJ,ATR 72,2,,,GOI,11:00,29-10-19,24-03-20
19,2T 512,TRJ,ATR 72,2,CDP,12:10,,,29-10-19,24-03-20
20,2T 178,TRJ,ATR 72,Daily,IDR,12:25,,,27-10-19,28-03-20
21,2T 512,TRJ,ATR 72,134567,CDP,12:35,,,27-10-19,28-03-20
22,2T 511,TRJ,ATR 72,2,,,CDP,12:35,29-10-19,24-03-20
23,2T 623,TRJ,ATR 72,Daily,,,VDY,12:45,27-10-19,28-03-20
24,2T 511,TRJ,ATR 72,134567,,,CDP,13:00,27-10-19,28-03-20
25,2T 110,TRJ,ATR 72,Daily,BLR,13:30,,,01-12-19,28-03-20
26,2T 133,TRJ,ATR 72,Daily,,,VGA,14:05,01-12-19,28-03-20
27,2T 122,TRJ,ATR 72,Daily,GOI,14:40,,,27-10-19,28-03-20
28,2T 211,TRJ,ATR 72,Daily,,,IXU,15:05,27-10-19,28-03-20
29,2T 134,TRJ,ATR 72,Daily,VGA,16:00,,,01-12-19,28-03-20
30,2T 516,TRJ,ATR 72,Daily,NDC,16:10,,,27-10-19,28-03-20
31,2T 191,TRJ,ATR 72,Daily,,,VTZ,16:25,01-12-19,28-03-20
32,2T 541,TRJ,ATR 72,Daily,,,IXG,16:45,27-10-19,28-03-20
33,2T 624,TRJ,ATR 72,Daily,VDY,18:05,,,27-10-19,28-03-20
34,2T 212,TRJ,ATR 72,Daily,IXU,18:15,,,27-10-19,28-03-20
35,2T 143,TRJ,ATR 72,Daily,,,RJA,18:30,27-10-19,28-03-20
36,2T 179,TRJ,ATR 72,Daily,,,IDR,18:50,27-10-19,28-03-20
37,2T 192,TRJ,ATR 72,134567,VTZ,20:05,,,01-12-19,27-03-20
38,2T 192,TRJ,ATR 72,2,VTZ,21:10,,,03-12-19,24-03-20
39,2T 542,TRJ,ATR 72,Daily,IXG,21:35,,,27-10-19,27-03-20
40,2T 144,TRJ,ATR 72,6,RJA,21:40,,,28-03-20,28-03-20
41,2T 144,TRJ,ATR 72,Daily,RJA,21:40,,,27-10-19,27-03-20
42,2T 108,TRJ,ATR 72,6,TIR,21:55,,,28-03-20,28-03-20
43,2T 108,TRJ,ATR 72,Daily,TIR,21:55,,,27-10-19,27-03-20
44,2T 542,TRJ,ATR 72,6,IXG,22:25,,,28-03-20,28-03-20
45,2T 192,TRJ,ATR 72,6,VTZ,23:00,,,28-03-20,28-03-20
46,2T 180,TRJ,ATR 72,6,IDR,23:45,,,28-03-20,28-03-20
47,2T 180,TRJ,ATR 72,Daily,IDR,23:45,,,27-10-19,27-03-20
48,2T 202,TRJ,ATR 72,Daily,MAA,23:55,,,27-10-19,14-11-19
Indore,,,,,,,,,,
1,2T 173,TRJ,ATR 72,Daily,AMD,6:55,,,27-10-19,28-03-20
2,2T 174,TRJ,ATR 72,Daily,,,AMD,7:20,27-10-19,28-03-20
3,2T 177,TRJ,ATR 72,Daily,HYD,9:45,,,27-10-19,28-03-20
4,2T 178,TRJ,ATR 72,Daily,,,HYD,10:05,27-10-19,28-03-20
5,2T 171,TRJ,ATR 72,15,AMD,16:55,,,28-10-19,27-03-20
6,2T 172,TRJ,ATR 72,15,,,AMD,17:20,28-10-19,27-03-20
7,2T 179,TRJ,ATR 72,Daily,HYD,21:00,,,27-10-19,28-03-20
8,2T 180,TRJ,ATR 72,Daily,,,HYD,21:25,27-10-19,28-03-20
9,2T 175,TRJ,ATR 72,Daily,AMD,22:05,,,27-10-19,28-03-20
10,2T 176,TRJ,ATR 72,Daily,,,AMD,22:35,27-10-19,28-03-20
Jaisalmer,,,,,,,,,,
1,2T 703,TRJ,ATR 72,123456,AMD,12:00,,,28-10-19,28-03-20
2,2T 704,TRJ,ATR 72,123456,,,AMD,12:40,28-10-19,28-03-20
Jalgoan,,,,,,,,,,
1,2T 713,TRJ,ATR 72,23467,AMD,10:35,,,27-10-19,28-03-20
2,2T 713,TRJ,ATR 72,15,AMD,10:35,,,28-10-19,23-03-20
3,2T 715,TRJ,ATR 72,23467,,,BOM,10:55,27-10-19,28-03-20
4,2T 714,TRJ,ATR 72,15,,,AMD,11:35,28-10-19,23-03-20
5,2T 716,TRJ,ATR 72,23467,BOM,17:05,,,27-10-19,28-03-20
6,2T 714,TRJ,ATR 72,23467,,,AMD,17:25,27-10-19,28-03-20
Kandla,,,,,,,,,,
1,2T 711,TRJ,ATR 72,123456,AMD,16:00,,,28-10-19,28-03-20
2,2T 712,TRJ,ATR 72,123456,,,AMD,16:20,28-10-19,28-03-20
Kolhapur,,,,,,,,,,
1,2T 717,TRJ,ATR 72,23467,BOM,13:50,,,27-10-19,28-03-20
2,2T 718,TRJ,ATR 72,23467,,,BOM,14:10,27-10-19,28-03-20
Mumbai,,,,,,,,,,
1,2T 715,TRJ,ATR 72,23467,JLG,12:05,,,27-10-19,28-03-20
2,2T 517,TRJ,ATR 72,Daily,NDC,12:40,,,27-10-19,28-03-20
3,2T 717,TRJ,ATR 72,23467,,,KLH,12:45,27-10-19,28-03-20
4,2T 518,TRJ,ATR 72,Daily,,,NDC,13:20,27-10-19,28-03-20
5,2T 718,TRJ,ATR 72,23467,KLH,15:20,,,27-10-19,28-03-20
6,2T 716,TRJ,ATR 72,23467,,,JLG,15:55,27-10-19,28-03-20
Mysore,,,,,,,,,,
1,2T 209,TRJ,ATR 72,Daily,MAA,8:10,,,27-10-19,28-03-20
2,2T 210,TRJ,ATR 72,Daily,,,MAA,8:40,27-10-19,28-03-20
3,2T 543,TRJ,ATR 72,Daily,IXG,17:40,,,27-10-19,28-03-20
4,2T 544,TRJ,ATR 72,Daily,,,IXG,18:00,27-10-19,28-03-20
5,2T 537,TRJ,ATR 72,Daily,MAA,20:10,,,27-10-19,28-03-20
6,2T 538,TRJ,ATR 72,Daily,,,MAA,20:35,27-10-19,28-03-20
Nanded,,,,,,,,,,
1,2T 515,TRJ,ATR 72,Daily,HYD,10:40,,,27-10-19,28-03-20
2,2T 517,TRJ,ATR 72,Daily,,,BOM,11:00,27-10-19,28-03-20
3,2T 518,TRJ,ATR 72,Daily,BOM,14:50,,,27-10-19,28-03-20
4,2T 516,TRJ,ATR 72,Daily,,,HYD,15:10,27-10-19,28-03-20
Nasik,,,,,,,,,,
1,2T 707,TRJ,ATR 72,123456,AMD,19:00,,,27-10-19,28-03-20
2,2T 708,TRJ,ATR 72,123456,,,AMD,19:20,27-10-19,28-03-20
Porbander,,,,,,,,,,
1,2T 705,TRJ,ATR 72,Daily,AMD,8:10,,,27-10-19,28-03-20
2,2T 706,TRJ,ATR 72,Daily,,,AMD,8:30,27-10-19,28-03-20
Rajamundry,,,,,,,,,,
1,2T 141,TRJ,ATR 72,Daily,HYD,9:00,,,27-10-19,28-03-20
2,2T 142,TRJ,ATR 72,Daily,,,HYD,9:20,27-10-19,28-03-20
3,2T 143,TRJ,ATR 72,Daily,HYD,19:50,,,27-10-19,28-03-20
4,2T 144,TRJ,ATR 72,Daily,,,HYD,20:20,27-10-19,28-03-20
Salem,,,,,,,,,,
1,2T 531,TRJ,ATR 72,Daily,MAA,11:25,,,27-10-19,28-03-20
2,2T 532,TRJ,ATR 72,Daily,,,MAA,11:45,27-10-19,28-03-20
Tirupathi,,,,,,,,,,
1,2T 107,TRJ,ATR 72,Daily,HYD,7:30,,,27-10-19,28-03-20
2,2T 258,TRJ,ATR 72,Daily,,,IXG,7:45,27-10-19,28-03-20
3,2T 547,TRJ,ATR 72,Daily,IXG,20:10,,,27-10-19,28-03-20
4,2T 108,TRJ,ATR 72,Daily,,,HYD,20:30,27-10-19,28-03-20
Vidyanagar,,,,,,,,,,
1,2T 623,TRJ,ATR 72,Daily,HYD,13:50,,,27-10-19,28-03-20
2,2T 622,TRJ,ATR 72,Daily,,,BLR,14:15,27-10-19,28-03-20
3,2T 621,TRJ,ATR 72,Daily,BLR,16:45,,,27-10-19,28-03-20
4,2T 624,TRJ,ATR 72,Daily,,,HYD,17:10,27-10-19,28-03-20
Vijaywada,,,,,,,,,,
1,2T 131,TRJ,ATR 72,Daily,HYD,7:45,,,27-10-19,28-03-20
2,2T 132,TRJ,ATR 72,Daily,,,HYD,8:10,27-10-19,28-03-20
3,2T 533,TRJ,ATR 72,Daily,CDP,15:35,,,27-10-19,28-03-20
4,2T 534,TRJ,ATR 72,Daily,,,CDP,16:00,27-10-19,28-03-20
Vizag,,,,,,,,,,
1,2T 191,TRJ,ATR 72,Daily,HYD,18:00,,,27-10-19,28-03-20
2,2T 192,TRJ,ATR 72,Daily,,,HYD,18:30,27-10-19,28-03-20
